filename,index,minor_1,major_1,minor_2,major_2,minor_3,major_3,minor_4,major_4,minor_5,major_5,minor_6,major_6,minor_7,major_7,minor_8,major_8,minor_9,major_9
fld_20x20x20_0.dat,0,-0.2399,0.4799,-0.1228,0.4095,-0.031,0.3098,0,0.2751,0.0568,0.2838,0.1215,0.3037,0.1938,0.323,0.273,0.3413,0.3661,0.3661
fld_20x20x20_1.dat,1,-0.2747,0.5494,-0.1207,0.4022,-0.0296,0.296,0,0.2646,0.0538,0.2688,0.1137,0.2842,0.1788,0.298,0.2513,0.3142,0.3282,0.3282
fld_20x20x20_6.dat,6,-0.2282,0.4564,-0.1249,0.4163,-0.0312,0.3115,0,0.2765,0.0564,0.2819,0.1203,0.3008,0.1913,0.3188,0.2696,0.337,0.3569,0.3569
fld_20x20x20_10.dat,10,-0.2124,0.4249,-0.1184,0.3946,-0.0302,0.3024,0,0.2673,0.0557,0.2784,0.1173,0.2933,0.1871,0.3119,0.2649,0.3311,0.3436,0.3436
fld_20x20x20_11.dat,11,-0.2376,0.4752,-0.1234,0.4112,-0.0312,0.3121,0,0.2768,0.0573,0.2864,0.1205,0.3014,0.1886,0.3144,0.2584,0.323,0.3358,0.3358
fld_20x20x20_20.dat,20,-0.242,0.484,-0.1192,0.3973,-0.0299,0.2994,0,0.267,0.0552,0.2758,0.1161,0.2903,0.184,0.3066,0.2584,0.323,0.3382,0.3382
fld_20x20x20_37.dat,37,-0.2642,0.5285,-0.1206,0.4019,-0.0308,0.3077,0,0.2752,0.0565,0.2824,0.1194,0.2985,0.1876,0.3126,0.2626,0.3282,0.3421,0.3421
fld_20x20x20_107.dat,107,-0.2249,0.4498,-0.123,0.4098,-0.0314,0.3144,0,0.2769,0.0574,0.2868,0.1201,0.3002,0.187,0.3117,0.2601,0.3251,0.3357,0.3357
fld_20x20x20_112.dat,112,-0.2385,0.477,-0.1206,0.402,-0.0307,0.3074,0,0.2728,0.0562,0.2809,0.1213,0.3034,0.1943,0.3238,0.2761,0.3452,0.3728,0.3728
fld_20x20x20_123.dat,123,-0.2245,0.449,-0.1235,0.4117,-0.0314,0.314,0,0.2783,0.0566,0.2828,0.1185,0.2961,0.1836,0.306,0.256,0.3199,0.3349,0.3349
fld_20x20x20_222.dat,222,-0.2307,0.4615,-0.1215,0.4051,-0.0307,0.3071,0,0.2732,0.0559,0.2795,0.1165,0.2913,0.1848,0.3079,0.2601,0.3252,0.3403,0.3403
fld_20x20x20_224.dat,224,-0.2299,0.4599,-0.1218,0.4061,-0.0313,0.313,0,0.2786,0.0572,0.286,0.1205,0.3013,0.1886,0.3143,0.2599,0.3248,0.3377,0.3377
fld_20x20x20_242.dat,242,-0.2216,0.4433,-0.1193,0.3977,-0.0307,0.3066,0,0.2734,0.0566,0.2829,0.1208,0.302,0.1909,0.3181,0.2679,0.3349,0.3524,0.3524
