filename,index,minor_1,major_1,minor_2,major_2,minor_3,major_3,minor_4,major_4,minor_5,major_5,minor_6,major_6,minor_7,major_7,minor_8,major_8,minor_9,major_9
fld_10x10x10_0.dat,0,-0.2168,0.4337,-0.1155,0.3851,-0.0306,0.3063,0,0.2748,0.0554,0.2768,0.1134,0.2835,0.1736,0.2893,0.238,0.2975,0.311,0.311
fld_10x10x10_1.dat,1,-0.2482,0.4963,-0.1147,0.3824,-0.0295,0.2951,0,0.2672,0.0536,0.2679,0.1073,0.2683,0.1609,0.2681,0.2171,0.2714,0.2804,0.2804
fld_10x10x10_3.dat,3,-0.2529,0.5059,-0.1177,0.3923,-0.0313,0.3131,0,0.2822,0.0559,0.2795,0.1114,0.2784,0.1689,0.2815,0.2323,0.2904,0.3027,0.3027
fld_10x10x10_5.dat,5,-0.2432,0.4863,-0.1123,0.3743,-0.0302,0.3019,0,0.2721,0.0541,0.2705,0.1084,0.271,0.1629,0.2715,0.2173,0.2717,0.2724,0.2724
fld_10x10x10_6.dat,6,-0.2011,0.4021,-0.1213,0.4044,-0.0312,0.3124,0,0.2812,0.0562,0.281,0.1125,0.2812,0.1725,0.2875,0.2388,0.2985,0.3139,0.3139
fld_10x10x10_10.dat,10,-0.2039,0.4079,-0.1129,0.3764,-0.0298,0.298,0,0.2683,0.0537,0.2687,0.106,0.265,0.1608,0.268,0.2211,0.2764,0.286,0.286
fld_10x10x10_11.dat,11,-0.2201,0.4402,-0.1128,0.3759,-0.0304,0.304,0,0.2739,0.0551,0.2756,0.1097,0.2743,0.1661,0.2768,0.2236,0.2795,0.2878,0.2878
fld_10x10x10_12.dat,12,-0.2045,0.4089,-0.1203,0.4011,-0.0321,0.3206,0,0.2849,0.0563,0.2816,0.1112,0.278,0.1658,0.2763,0.2207,0.2759,0.2793,0.2793
fld_10x10x10_14.dat,14,-0.192,0.384,-0.1186,0.3952,-0.0313,0.3133,0,0.2805,0.0555,0.2773,0.1104,0.2761,0.1672,0.2787,0.2268,0.2835,0.2906,0.2906
fld_10x10x10_17.dat,17,-0.1986,0.3973,-0.1177,0.3925,-0.0316,0.3163,0,0.2844,0.0564,0.2819,0.1124,0.2811,0.1658,0.2763,0.2205,0.2756,0.2779,0.2779
fld_10x10x10_18.dat,18,-0.237,0.4741,-0.113,0.3767,-0.0296,0.2957,0,0.2674,0.0542,0.2708,0.1103,0.2757,0.1698,0.283,0.2319,0.2899,0.3008,0.3008
fld_10x10x10_19.dat,19,-0.2516,0.5032,-0.1154,0.3845,-0.0298,0.2983,0,0.27,0.0539,0.2697,0.1078,0.2695,0.1642,0.2736,0.2231,0.2789,0.29,0.29
fld_10x10x10_20.dat,20,-0.2225,0.445,-0.1136,0.3788,-0.0297,0.2966,0,0.2652,0.0534,0.2669,0.1085,0.2712,0.1644,0.274,0.2252,0.2816,0.2938,0.2938
fld_10x10x10_21.dat,21,-0.244,0.4881,-0.1117,0.3724,-0.0296,0.2964,0,0.2685,0.0529,0.2644,0.1065,0.2664,0.1646,0.2743,0.2292,0.2865,0.301,0.301
fld_10x10x10_23.dat,23,-0.242,0.4841,-0.1127,0.3757,-0.0303,0.3025,0,0.2732,0.0546,0.2731,0.1089,0.2723,0.1629,0.2714,0.2185,0.2732,0.2774,0.2774
fld_10x10x10_26.dat,26,-0.1964,0.3929,-0.1153,0.3844,-0.0313,0.3128,0,0.2791,0.0554,0.2772,0.1123,0.2807,0.1717,0.2861,0.2286,0.2857,0.2883,0.2883
fld_10x10x10_33.dat,33,-0.1891,0.3781,-0.1115,0.3718,-0.0296,0.296,0,0.2644,0.0519,0.2594,0.103,0.2575,0.1557,0.2596,0.2118,0.2648,0.276,0.276
fld_10x10x10_36.dat,36,-0.2179,0.4357,-0.1145,0.3818,-0.0307,0.3068,0,0.2774,0.0559,0.2796,0.1135,0.2838,0.1711,0.2851,0.2363,0.2953,0.306,0.306
fld_10x10x10_37.dat,37,-0.2447,0.4893,-0.114,0.3798,-0.0303,0.3028,0,0.2734,0.0544,0.2718,0.1086,0.2716,0.1669,0.2781,0.2307,0.2884,0.299,0.299
fld_10x10x10_45.dat,45,-0.2107,0.4214,-0.1128,0.3761,-0.03,0.3,0,0.2705,0.0538,0.2692,0.107,0.2674,0.161,0.2683,0.2141,0.2677,0.2739,0.2739
fld_10x10x10_61.dat,61,-0.2073,0.4147,-0.1154,0.3847,-0.0305,0.3046,0,0.2723,0.0542,0.2711,0.1078,0.2696,0.1644,0.274,0.2268,0.2835,0.2934,0.2934
